n,politica,k,p,A_analitico
1,k=1,1,0.50000000,0.50000000
1,k=1,1,0.60000000,0.60000000
1,k=1,1,0.70000000,0.70000000
1,k=1,1,0.80000000,0.80000000
1,k=1,1,0.90000000,0.90000000
1,k=1,1,0.95000000,0.95000000
1,k=1,1,0.99000000,0.99000000
2,k=1,1,0.50000000,0.75000000
2,k=1,1,0.60000000,0.84000000
2,k=1,1,0.70000000,0.91000000
2,k=1,1,0.80000000,0.96000000
2,k=1,1,0.90000000,0.99000000
2,k=1,1,0.95000000,0.99750000
2,k=1,1,0.99000000,0.99990000
2,k=maioria,2,0.50000000,0.25000000
2,k=maioria,2,0.60000000,0.36000000
2,k=maioria,2,0.70000000,0.49000000
2,k=maioria,2,0.80000000,0.64000000
2,k=maioria,2,0.90000000,0.81000000
2,k=maioria,2,0.95000000,0.90250000
2,k=maioria,2,0.99000000,0.98010000
3,k=1,1,0.50000000,0.87500000
3,k=1,1,0.60000000,0.93600000
3,k=1,1,0.70000000,0.97300000
3,k=1,1,0.80000000,0.99200000
3,k=1,1,0.90000000,0.99900000
3,k=1,1,0.95000000,0.99987500
3,k=1,1,0.99000000,0.99999900
3,k=maioria,2,0.50000000,0.50000000
3,k=maioria,2,0.60000000,0.64800000
3,k=maioria,2,0.70000000,0.78400000
3,k=maioria,2,0.80000000,0.89600000
3,k=maioria,2,0.90000000,0.97200000
3,k=maioria,2,0.95000000,0.99275000
3,k=maioria,2,0.99000000,0.99970200
3,k=n,3,0.50000000,0.12500000
3,k=n,3,0.60000000,0.21600000
3,k=n,3,0.70000000,0.34300000
3,k=n,3,0.80000000,0.51200000
3,k=n,3,0.90000000,0.72900000
3,k=n,3,0.95000000,0.85737500
3,k=n,3,0.99000000,0.97029900
5,k=1,1,0.50000000,0.96875000
5,k=1,1,0.60000000,0.98976000
5,k=1,1,0.70000000,0.99757000
5,k=1,1,0.80000000,0.99968000
5,k=1,1,0.90000000,0.99999000
5,k=1,1,0.95000000,0.99999969
5,k=1,1,0.99000000,1.00000000
5,k=maioria,3,0.50000000,0.50000000
5,k=maioria,3,0.60000000,0.68256000
5,k=maioria,3,0.70000000,0.83692000
5,k=maioria,3,0.80000000,0.94208000
5,k=maioria,3,0.90000000,0.99144000
5,k=maioria,3,0.95000000,0.99884187
5,k=maioria,3,0.99000000,0.99999015
5,k=n,5,0.50000000,0.03125000
5,k=n,5,0.60000000,0.07776000
5,k=n,5,0.70000000,0.16807000
5,k=n,5,0.80000000,0.32768000
5,k=n,5,0.90000000,0.59049000
5,k=n,5,0.95000000,0.77378094
5,k=n,5,0.99000000,0.95099005
7,k=1,1,0.50000000,0.99218750
7,k=1,1,0.60000000,0.99836160
7,k=1,1,0.70000000,0.99978130
7,k=1,1,0.80000000,0.99998720
7,k=1,1,0.90000000,0.99999990
7,k=1,1,0.95000000,1.00000000
7,k=1,1,0.99000000,1.00000000
7,k=maioria,4,0.50000000,0.50000000
7,k=maioria,4,0.60000000,0.71020800
7,k=maioria,4,0.70000000,0.87396400
7,k=maioria,4,0.80000000,0.96665600
7,k=maioria,4,0.90000000,0.99727200
7,k=maioria,4,0.95000000,0.99980642
7,k=maioria,4,0.99000000,0.99999966
7,k=n,7,0.50000000,0.00781250
7,k=n,7,0.60000000,0.02799360
7,k=n,7,0.70000000,0.08235430
7,k=n,7,0.80000000,0.20971520
7,k=n,7,0.90000000,0.47829690
7,k=n,7,0.95000000,0.69833730
7,k=n,7,0.99000000,0.93206535
9,k=1,1,0.50000000,0.99804688
9,k=1,1,0.60000000,0.99973786
9,k=1,1,0.70000000,0.99998032
9,k=1,1,0.80000000,0.99999949
9,k=1,1,0.90000000,1.00000000
9,k=1,1,0.95000000,1.00000000
9,k=1,1,0.99000000,1.00000000
9,k=maioria,5,0.50000000,0.50000000
9,k=maioria,5,0.60000000,0.73343232
9,k=maioria,5,0.70000000,0.90119134
9,k=maioria,5,0.80000000,0.98041856
9,k=maioria,5,0.90000000,0.99910908
9,k=maioria,5,0.95000000,0.99996678
9,k=maioria,5,0.99000000,0.99999999
9,k=n,9,0.50000000,0.00195312
9,k=n,9,0.60000000,0.01007770
9,k=n,9,0.70000000,0.04035361
9,k=n,9,0.80000000,0.13421773
9,k=n,9,0.90000000,0.38742049
9,k=n,9,0.95000000,0.63024941
9,k=n,9,0.99000000,0.91351725
11,k=1,1,0.50000000,0.99951172
11,k=1,1,0.60000000,0.99995806
11,k=1,1,0.70000000,0.99999823
11,k=1,1,0.80000000,0.99999998
11,k=1,1,0.90000000,1.00000000
11,k=1,1,0.95000000,1.00000000
11,k=1,1,0.99000000,1.00000000
11,k=maioria,6,0.50000000,0.50000000
11,k=maioria,6,0.60000000,0.75349813
11,k=maioria,6,0.70000000,0.92177521
11,k=maioria,6,0.80000000,0.98834579
11,k=maioria,6,0.90000000,0.99970429
11,k=maioria,6,0.95000000,0.99999420
11,k=maioria,6,0.99000000,1.00000000
11,k=n,11,0.50000000,0.00048828
11,k=n,11,0.60000000,0.00362797
11,k=n,11,0.70000000,0.01977327
11,k=n,11,0.80000000,0.08589935
11,k=n,11,0.90000000,0.31381060
11,k=n,11,0.95000000,0.56880009
11,k=n,11,0.99000000,0.89533825
